2026-07-02 17:18:43,556 | INFO | Application Started
2026-07-02 17:18:43,557 | WARNING | This is a warning
2026-07-02 17:18:43,557 | ERROR | This is an error
2026-07-06 17:42:31,621 | INFO | Application Started
2026-07-06 17:42:31,683 | INFO | Scanning input_documents folder completed
2026-07-06 17:42:31,683 | INFO | Processing file: notes.txt.txt
2026-07-06 17:42:31,683 | INFO | Extracting text from notes.txt.txt
2026-07-06 17:42:31,684 | INFO | Text extracted successfully from notes.txt.txt
2026-07-06 17:42:31,690 | INFO | notes.txt.txt classified as Administrative Documents with confidence 9.09%
2026-07-06 17:42:31,691 | WARNING | Low confidence (9.09%) for notes.txt.txt
2026-07-06 17:42:31,692 | INFO | Processing file: salary.docx
2026-07-06 17:42:31,693 | INFO | Extracting text from salary.docx
2026-07-06 17:42:31,733 | INFO | Text extracted successfully from salary.docx
2026-07-06 17:42:31,737 | INFO | salary.docx classified as Miscellaneous Documents with confidence 16.26%
2026-07-06 17:42:31,738 | WARNING | Low confidence (16.26%) for salary.docx
2026-07-06 17:42:31,739 | INFO | Processing file: sample.xlsx
2026-07-06 17:42:31,739 | INFO | Extracting text from sample.xlsx
2026-07-06 17:42:33,084 | INFO | Text extracted successfully from sample.xlsx
2026-07-06 17:42:33,086 | INFO | sample.xlsx classified as Administrative Documents with confidence 9.09%
2026-07-06 17:42:33,086 | WARNING | Low confidence (9.09%) for sample.xlsx
2026-07-06 17:42:33,087 | INFO | Processing file: wallpaper.jpeg
2026-07-06 17:42:33,087 | INFO | Extracting text from wallpaper.jpeg
2026-07-06 17:42:33,087 | INFO | Text extracted successfully from wallpaper.jpeg
2026-07-06 17:42:33,090 | INFO | wallpaper.jpeg classified as Administrative Documents with confidence 9.09%
2026-07-06 17:42:33,090 | WARNING | Low confidence (9.09%) for wallpaper.jpeg
2026-07-06 17:42:33,100 | INFO | CSV Report Generated Successfully
2026-07-06 17:42:33,100 | INFO | Document Analysis Completed Successfully
2026-07-06 17:46:11,937 | INFO | Application Started
2026-07-06 17:46:11,938 | INFO | Scanning input_documents folder completed
2026-07-06 17:46:11,939 | INFO | Processing file: notes.txt.txt
2026-07-06 17:46:11,939 | INFO | Extracting text from notes.txt.txt
2026-07-06 17:46:11,941 | INFO | Cache Miss
2026-07-06 17:46:11,942 | INFO | Text extracted successfully from notes.txt.txt
2026-07-06 17:46:11,944 | INFO | notes.txt.txt classified as Administrative Documents with confidence 9.09%
2026-07-06 17:46:11,944 | WARNING | Low confidence (9.09%) for notes.txt.txt
2026-07-06 17:46:11,945 | INFO | Processing file: salary.docx
2026-07-06 17:46:11,945 | INFO | Extracting text from salary.docx
2026-07-06 17:46:11,946 | INFO | Cache Miss
2026-07-06 17:46:11,965 | INFO | Text extracted successfully from salary.docx
2026-07-06 17:46:11,968 | INFO | salary.docx classified as Miscellaneous Documents with confidence 16.26%
2026-07-06 17:46:11,969 | WARNING | Low confidence (16.26%) for salary.docx
2026-07-06 17:46:11,969 | INFO | Processing file: sample.xlsx
2026-07-06 17:46:11,969 | INFO | Extracting text from sample.xlsx
2026-07-06 17:46:11,970 | INFO | Cache Miss
2026-07-06 17:46:12,342 | INFO | Text extracted successfully from sample.xlsx
2026-07-06 17:46:12,344 | INFO | sample.xlsx classified as Administrative Documents with confidence 9.09%
2026-07-06 17:46:12,344 | WARNING | Low confidence (9.09%) for sample.xlsx
2026-07-06 17:46:12,345 | INFO | Processing file: wallpaper.jpeg
2026-07-06 17:46:12,345 | INFO | Extracting text from wallpaper.jpeg
2026-07-06 17:46:12,346 | INFO | Cache Miss
2026-07-06 17:46:12,347 | INFO | Text extracted successfully from wallpaper.jpeg
2026-07-06 17:46:12,349 | INFO | wallpaper.jpeg classified as Administrative Documents with confidence 9.09%
2026-07-06 17:46:12,349 | WARNING | Low confidence (9.09%) for wallpaper.jpeg
2026-07-06 17:46:12,356 | INFO | CSV Report Generated Successfully
2026-07-06 17:46:12,356 | INFO | Document Analysis Completed Successfully
